base_year_month,20대 이하,30대,40대,50대,60대,70대 이상
2019-01,23277,68334,103441,71709,22334,4846
2019-02,21192,62924,94713,63890,20680,4324
2019-03,25510,72204,92779,69716,25145,5014
2019-04,25314,72970,92637,68133,25934,5109
2019-05,26459,79898,106754,71592,24772,5439
2019-06,28337,84060,104262,69524,24336,4921
2019-07,30641,83150,113040,68581,22638,5072
2019-08,36243,95974,127486,75475,25158,5538
2019-09,29444,75285,90616,58097,21807,4286
2019-10,33157,85343,109594,73405,26406,4945
2019-11,32688,78371,104523,71271,25183,5359
2019-12,36509,81142,107893,72240,23909,4253
2020-01,25970,68133,101598,74941,26056,4803
2020-02,21680,50139,77790,57183,18525,3450
2020-03,23049,51626,73232,54055,17893,3301
2020-04,23520,57306,73499,55802,19882,3646
2020-05,30378,76534,96847,68020,25114,4815
2020-06,31071,78907,89294,65868,25143,4421
2020-07,38246,87573,100515,71362,25191,4813
2020-08,40737,97825,129263,81722,26874,5579
2020-09,32236,77738,85582,59098,22453,4366
2020-10,37569,90792,105469,74294,29270,5173
2020-11,37440,90429,104492,77371,30706,5397
2020-12,26130,59704,71074,53717,19217,3349
2021-01,15471,43479,62907,50582,18550,3712
2021-02,21933,55424,80193,61478,21586,4275
2021-03,29320,75023,86055,72402,29135,5789
2021-04,33762,92849,99367,80984,34308,6415
2021-05,37607,96480,110236,92814,43123,9043
2021-06,32287,82766,93927,79127,37300,7796
2021-07,34229,87292,98746,82857,38434,8064
2021-08,32648,83268,93707,78374,36510,7762
2021-09,29206,74643,84399,70650,33128,6964
2021-10,37924,97154,110752,93515,43822,9116
2021-11,34995,89868,103753,87638,40424,8373
2021-12,32088,82607,94984,80304,37372,7688
