날짜,과일/샐러드류,구이류,국/탕/찌개/전골류,기타,김치류,냉채/무침류,데침/삶음류,떡류,만두류,면류,묵류,밥류,볶음류,빙과류,빵/과자류,음료류,장/장아찌류,적/꼬치류,전/부침류,조림류,주류,죽류,찜류,추가/사리,튀김류,회류
2019-01,113,6649,3832,7927,28,90,466,20,62,2110,26,2888,572,24,1023,2149,40,38,131,475,3108,111,584,62,1303,840
2019-02,112,6203,3339,7538,24,90,412,19,63,2018,25,2771,560,27,982,2098,36,41,127,490,2895,113,568,63,1225,732
2019-03,124,6659,4209,8184,24,102,465,22,68,2174,25,3025,629,34,995,2125,37,39,157,596,3221,97,499,68,1291,753
2019-04,132,6754,4278,8475,23,108,448,25,70,2182,20,2866,624,48,973,2201,40,44,156,661,3350,92,397,64,1261,917
2019-05,144,7429,4276,9013,24,112,468,23,88,2558,18,3052,669,91,1009,2500,34,44,161,648,3590,102,408,68,1379,1164
2019-06,140,7049,4217,8448,23,115,503,23,96,2597,14,3045,630,129,1004,2530,32,53,177,598,3557,113,418,63,1381,1370
2019-07,141,7460,4332,8507,25,121,500,24,110,2867,15,3099,653,199,1009,2586,33,61,174,557,3560,118,386,69,1468,1396
2019-08,152,8530,4726,9828,26,141,533,32,129,3260,11,3540,719,261,1125,2896,39,66,178,690,3885,134,421,78,1674,1446
2019-09,135,6557,4150,7923,16,96,386,24,88,2247,11,2759,608,101,926,2210,38,58,162,508,3458,98,353,67,1420,855
2019-10,142,7515,4867,9311,18,104,441,25,101,2441,14,3265,712,67,1028,2539,48,58,168,749,3798,113,453,77,1565,1072
2019-11,135,7258,4920,8738,18,93,432,25,93,2227,16,2953,668,39,954,2196,44,56,162,678,3777,100,450,75,1443,1226
2019-12,156,7919,4874,9281,25,98,447,32,88,2334,18,3091,683,27,1136,2285,46,58,177,621,3847,110,553,81,1552,1202
2020-01,136,7291,4639,8430,22,94,418,31,82,2319,14,2866,636,30,1097,2234,44,65,182,562,3584,110,518,74,1560,955
2020-02,119,5201,3611,6134,14,66,364,16,61,1725,12,2105,531,18,844,1515,22,46,133,309,2978,58,423,58,1302,556
2020-03,115,4861,3377,5610,14,66,368,14,61,1650,12,2035,538,23,847,1431,21,43,126,248,2984,50,376,55,1300,519
2020-04,131,5192,3518,6020,13,72,400,18,72,1752,12,2081,548,41,825,1488,26,51,126,360,3138,52,284,57,1315,648
2020-05,154,6872,4053,8053,23,100,447,22,91,2339,15,2696,643,101,981,2061,38,68,152,547,3655,90,342,72,1535,1108
2020-06,156,6624,3910,7882,22,91,425,21,99,2391,14,2582,622,139,914,2174,38,56,170,593,3761,94,319,72,1460,1392
2020-07,151,7490,4472,8910,23,101,489,21,104,2593,15,2885,701,184,1109,2481,42,61,192,752,4039,115,349,80,1650,1471
2020-08,154,8388,4461,10053,24,111,514,23,114,3052,13,3257,731,314,1160,2903,48,65,187,990,4138,147,402,84,1807,1690
2020-09,118,6156,3828,7335,16,69,349,25,75,1960,12,2515,636,101,916,1863,41,47,153,556,3288,79,310,67,1441,886
2020-10,141,7654,4517,9138,21,89,322,27,88,2256,16,3037,719,82,1100,2449,60,57,174,961,3894,114,397,77,1601,1239
2020-11,135,7628,4612,9147,23,86,320,27,86,2233,17,3013,672,52,1112,2319,62,53,163,929,3729,112,434,77,1522,1412
2020-12,62,4875,3389,6292,17,58,313,18,82,1548,15,2088,537,25,934,1420,41,29,103,435,2211,53,427,52,1337,917
2021-01,33,4304,3065,5103,14,42,284,17,72,1442,12,1830,468,22,765,1207,41,25,86,346,1737,35,368,48,1125,677
2021-02,60,5168,3181,6523,14,57,257,22,82,1858,13,2170,495,35,909,1627,54,43,100,494,2402,64,345,58,1181,909
2021-03,118,6289,3987,8262,17,76,309,22,95,2200,14,2719,616,46,1011,1941,55,55,136,679,3247,82,351,70,1266,1035
2021-04,139,7341,4096,9601,23,93,309,30,110,2601,15,3038,653,64,1112,2353,59,52,154,826,3454,100,345,75,1308,1273
2021-05,133,7675,4081,10191,23,97,315,28,127,2895,14,3149,626,108,1212,2755,62,53,171,798,3454,102,366,81,1385,1628
2021-06,92,7022,3787,9500,24,80,290,27,125,2823,12,2993,544,152,1134,2775,62,42,143,789,2718,96,307,77,1279,1789
2021-07,118,7516,4161,10362,23,88,376,27,136,3166,13,3045,631,222,1253,2818,96,52,186,683,3336,97,326,84,1420,1826
2021-08,73,6611,3833,9717,21,76,324,23,127,2902,11,2888,599,196,1268,2747,110,43,160,671,2436,89,331,77,1331,1447
2021-09,78,6179,3567,9184,16,67,270,27,100,2374,11,2585,550,110,1137,2453,92,42,130,594,2365,79,283,69,1211,1108
2021-10,110,8415,4663,11899,23,84,307,23,116,2853,15,3314,676,91,1312,3077,93,60,160,925,3545,108,396,102,1382,1573
2021-11,133,8403,4917,12103,21,84,309,27,108,2577,20,3167,687,57,1295,2899,67,65,163,906,4061,99,422,102,1304,1642
2021-12,112,7801,4612,11430,19,88,314,28,110,2612,21,2909,635,42,1363,2661,60,73,144,737,3328,85,501,97,1251,1605
